drugbank_id	mcule_id
DB00456	MCULE-2927862684
DB00456	MCULE-3627054086
DB00456	MCULE-4381582862
DB00456	MCULE-7320698397
DB00456	MCULE-8531048101
DB00456	MCULE-9158285466
DB00457	MCULE-7492026178
DB00457	MCULE-8104643269
DB00458	MCULE-5997199711
DB00458	MCULE-9471074673
DB00462	MCULE-6124492894
DB00462	MCULE-8895721422
DB00462	MCULE-9148232132
DB00467	MCULE-2632820619
DB00468	MCULE-1532027186
DB00468	MCULE-3072325944
DB00477	MCULE-5976054678
DB00477	MCULE-8792081568
DB00479	MCULE-2128725120
DB00479	MCULE-3053286725
DB00479	MCULE-6148260173
DB00479	MCULE-7653567955
DB00479	MCULE-7783931060
DB00479	MCULE-8924710657
DB00479	MCULE-9034136400
DB00479	MCULE-9088298957
DB00480	MCULE-9771679074
DB00481	MCULE-4598311006
DB00481	MCULE-7336063262
DB00482	MCULE-4750749400
DB00483	MCULE-6152801555
DB00484	MCULE-4542695850
DB00485	MCULE-2219014670
DB00485	MCULE-7713174761
DB00487	MCULE-3576829094
DB00488	MCULE-1605383293
DB00489	MCULE-3878563080
DB00489	MCULE-8589076631
DB00490	MCULE-1919697845
DB00490	MCULE-3504513666
DB00491	MCULE-2158237443
DB00491	MCULE-9755918434
DB00493	MCULE-5307502173
DB00493	MCULE-5791552610
DB00493	MCULE-5908920538
DB00493	MCULE-6008190974
DB00493	MCULE-7225181552
DB00493	MCULE-7728414803
DB00493	MCULE-9988072641
DB00494	MCULE-1616553981
DB00495	MCULE-3669241621
DB00495	MCULE-8664408343
DB00498	MCULE-1090571544
DB00499	MCULE-7498839065
DB00501	MCULE-2885245608
DB00503	MCULE-6979781513
DB00503	MCULE-9029064305
DB00507	MCULE-8701444531
DB00508	MCULE-4776607695
DB00508	MCULE-9151902507
DB00509	MCULE-5870225988
DB00509	MCULE-8611691549
DB00513	MCULE-3640363033
DB00513	MCULE-6389520144
DB00513	MCULE-6593883576
DB00514	MCULE-1731999373
DB00514	MCULE-4399511134
DB00515	MCULE-7728164114
DB00516	MCULE-9788063146
DB00517	MCULE-6124492894
DB00518	MCULE-5872469561
DB00525	MCULE-6942707513
DB00526	MCULE-6647815245
DB00527	MCULE-2036117305
DB00527	MCULE-4397469465
DB00528	MCULE-2712241399
DB00528	MCULE-2762147672
DB00530	MCULE-7764565391
DB00530	MCULE-9498970160
DB00531	MCULE-5327530727
DB00532	MCULE-6021512202
DB00533	MCULE-4806636118
DB00534	MCULE-7569539735
DB00534	MCULE-7728164114
DB00536	MCULE-1152750770
DB00537	MCULE-8631780654
DB00538	MCULE-4909487075
DB00539	MCULE-5946773708
DB00539	MCULE-6965711017
DB00541	MCULE-1979497094
DB00541	MCULE-4865117155
DB00541	MCULE-9359957991
DB00541	MCULE-9716648888
DB00542	MCULE-3688223661
DB00542	MCULE-8422231821
DB00543	MCULE-9583761109
