drugbank_id	kegg_ligand_id
DB01326	C13968
DB01327	C06880
DB01328	C06882
DB01328	C08105
DB01329	C06883
DB01329	C08112
DB01330	C06886
DB01330	C14007
DB01331	C06887
DB01331	C08106
DB01332	C06890
DB01332	C08118
DB01333	C06897
DB01336	C07919
DB01337	C07551
DB01338	C07554
DB01339	C07553
DB01346	C06526
DB01346	C06527
DB01346	C07434
DB01351	C07536
DB01352	C07826
DB01354	C17725
DB01355	C11723
DB01357	C07618
DB01359	C07416
DB01361	C12753
DB01364	C01575
DB01364	C02765
DB01365	C07889
DB01366	C13235
DB01369	C08032
DB01369	C08034
DB01375	C00001
DB01375	C00037
DB01375	C01328
DB01378	C00305
DB01380	C08173
DB01384	C07413
DB01388	C07222
DB01390	C00288
DB01390	C01330
DB01390	C01353
DB01390	C12603
DB01392	C09256
DB01394	C07592
DB01396	C06955
DB01397	C00305
DB01397	C00805
DB01397	C07995
DB01398	C00805
DB01398	C01330
DB01398	C07587
DB01400	C07258
DB01400	C08197
DB01400	C08200
DB01401	C00114
DB01401	C00305
DB01401	C00805
DB01403	C07192
DB01412	C07480
DB01413	C08111
DB01413	C12557
DB01414	C12691
DB01415	C08117
DB01416	C08114
DB01420	C08158
DB01421	C00832
DB01421	C17712
DB01424	C07539
DB01426	C06542
DB01426	C09217
DB01427	C13594
DB01428	C14285
DB01431	C12811
DB01433	C08012
DB01434	C14500
DB01435	C13244
DB01437	C07489
DB01438	C07429
DB01438	C19290
DB01440	C00989
DB01440	C01991
DB01445	C08299
DB01452	C06534
DB01454	C07577
DB01466	C07537
DB01471	C14475
DB01477	C01324
DB01477	C13645
DB01481	C15377
DB01482	C00698
DB01482	C01327
DB01486	C02343
DB01486	C07911
DB01486	C08300
DB01486	C16719
DB01488	C08302
DB01494	C00719
DB01494	C06899
DB01495	C06899
DB01495	C13244
DB01497	C11793
DB01501	C07871
DB01515	C10847
DB01522	C08012
DB01524	C04295
DB01525	C10858
DB01525	C12449
DB01526	C14210
DB01530	C03051
DB01530	C03852
DB01530	C07632
DB01530	C12525
DB01536	C00280
DB01541	C14502
DB01548	C11794
DB01555	C08012
DB01556	C07559
DB01560	C08301
DB01561	C00674
DB01561	C03772
