drugbank_id	molport_id
DB00380	MolPort-005-934-876
DB00380	MolPort-023-276-958
DB00382	MolPort-001-683-425
DB00382	MolPort-001-683-467
DB00382	MolPort-001-918-874
DB00382	MolPort-002-322-991
DB00388	MolPort-000-718-949
DB00388	MolPort-001-783-440
DB00388	MolPort-003-666-260
DB00388	MolPort-004-285-491
DB00388	MolPort-023-220-534
DB00388	MolPort-023-331-554
DB00390	MolPort-000-739-272
DB00390	MolPort-000-777-267
DB00390	MolPort-002-507-099
DB00390	MolPort-002-530-211
DB00390	MolPort-002-536-760
DB00390	MolPort-003-983-426
DB00390	MolPort-030-042-300
DB00391	MolPort-003-930-513
DB00394	MolPort-002-530-411
DB00394	MolPort-003-666-128
DB00394	MolPort-003-983-412
DB00394	MolPort-035-757-818
DB00396	MolPort-001-740-063
DB00396	MolPort-001-785-926
DB00398	MolPort-006-705-989
DB00399	MolPort-002-885-874
DB00399	MolPort-006-705-995
DB00399	MolPort-019-990-662
DB00399	MolPort-023-332-212
DB00399	MolPort-028-616-716
DB00400	MolPort-001-934-124
DB00400	MolPort-003-983-438
DB00401	MolPort-027-564-868
DB00402	MolPort-002-885-823
DB00405	MolPort-003-666-520
DB00405	MolPort-023-220-382
DB00406	MolPort-001-783-921
DB00408	MolPort-003-666-776
DB00409	MolPort-003-983-422
DB00410	MolPort-009-194-219
DB00411	MolPort-001-783-702
DB00411	MolPort-003-666-136
DB00412	MolPort-003-850-205
DB00412	MolPort-009-760-563
DB00412	MolPort-016-638-337
DB00412	MolPort-027-714-053
DB00412	MolPort-035-683-934
DB00413	MolPort-003-849-957
DB00413	MolPort-005-938-249
DB00413	MolPort-005-972-705
DB00413	MolPort-006-395-737
DB00413	MolPort-016-633-268
DB00415	MolPort-001-018-234
DB00415	MolPort-002-520-846
DB00415	MolPort-002-964-478
DB00415	MolPort-003-666-123
DB00415	MolPort-009-653-442
DB00415	MolPort-009-758-628
DB00415	MolPort-023-220-217
DB00416	MolPort-001-783-703
DB00417	MolPort-001-990-055
DB00417	MolPort-003-983-406
DB00420	MolPort-003-666-271
DB00421	MolPort-001-930-619
DB00421	MolPort-002-507-224
DB00421	MolPort-020-006-845
DB00421	MolPort-033-355-721
DB00424	MolPort-001-779-638
DB00424	MolPort-002-526-644
DB00424	MolPort-002-526-676
DB00424	MolPort-009-653-413
DB00424	MolPort-016-633-270
DB00424	MolPort-019-938-994
DB00424	MolPort-023-220-146
DB00424	MolPort-027-835-311
DB00424	MolPort-028-616-868
DB00424	MolPort-035-395-748
DB00424	MolPort-035-675-645
DB00427	MolPort-003-666-303
DB00427	MolPort-005-972-530
DB00427	MolPort-008-313-351
DB00428	MolPort-003-983-467
DB00429	MolPort-001-793-006
DB00430	MolPort-023-220-334
DB00430	MolPort-023-220-337
DB00432	MolPort-004-955-206
DB00434	MolPort-003-940-781
DB00437	MolPort-000-141-383
DB00437	MolPort-000-870-337
DB00437	MolPort-016-633-253
DB00437	MolPort-023-279-040
DB00438	MolPort-003-698-286
DB00438	MolPort-020-001-272
DB00439	MolPort-003-845-726
DB00440	MolPort-003-986-640
DB00441	MolPort-003-824-457
DB00441	MolPort-003-847-062
DB00441	MolPort-006-666-269
DB00441	MolPort-019-918-649
DB00441	MolPort-023-220-196
DB00442	MolPort-003-986-416
DB00442	MolPort-005-942-963
DB00442	MolPort-016-633-195
DB00442	MolPort-016-633-269
DB00442	MolPort-019-993-947
DB00442	MolPort-023-332-757
DB00442	MolPort-035-395-011
DB00443	MolPort-003-666-157
DB00443	MolPort-007-981-051
