drugbank_id	pharmgkb_id
DB01254	PA162372878
DB01259	PA152241907
DB01268	PA162372840
DB01275	PA449894
DB01288	PA10079
DB01295	PA164743236
DB01297	PA164752820
DB01303	PA448976
DB01320	PA164746820
DB01324	PA164748763
DB01325	PA164760863
DB01326	PA448837
DB01327	PA448839
DB01328	PA164743021
DB01329	PA448849
DB01330	PA164784033
DB01331	PA448856
DB01332	PA164748758
DB01346	PA164783957
DB01346	PA450911
DB01346	PA451209
DB01346	PA451213
DB01349	PA164769057
DB01351	PA448401
DB01352	PA164754809
DB01354	PA164783812
DB01364	PA449466
DB01364	PA451170
DB01366	PA164748908
DB01375	PA449789
DB01377	PA450744
DB01380	PA449130
DB01388	PA450492
DB01390	PA451375
DB01390	PA451379
DB01392	PA451946
DB01393	PA162364313
DB01394	PA449092
DB01398	PA451428
DB01399	PA164745462
DB01400	PA450611
DB01401	PA448976
DB01412	PA451646
DB01413	PA164754876
DB01416	PA164746385
DB01418	PA452632
DB01422	PA164754993
DB01423	PA164748630
DB01428	PA164742933
DB01433	PA164746889
DB01435	PA448453
DB01437	PA164749505
DB01438	PA164746899
DB01463	PA164747055
DB01483	PA448538
DB01495	PA448453
DB01522	PA164746889
DB01544	PA164781320
DB01555	PA164746889
DB01558	PA10035
DB01559	PA164752437
DB01567	PA164745609
DB01576	PA448408
DB01577	PA450403
DB01579	PA450902
DB01580	PA10284
DB01581	PA164776842
DB01582	PA451542
DB01583	PA151070295
DB01588	PA164776668
DB01589	PA164744373
DB01591	PA164747739
DB01592	PA450087
DB01593	PA451956
DB01594	PA164748034
DB01595	PA10242
DB01598	PA449968
DB01601	PA450264
DB01606	PA164764504
DB01610	PA10227
DB01612	PA164750570
DB01614	PA164783999
DB01619	PA164750491
DB01620	PA164744506
DB01621	PA10158
DB01622	PA164754875
DB01626	PA450797
DB01627	PA164749212
DB01703	PA450087
DB01912	PA150595617
DB01942	PA449705
DB01954	PA153906323
DB01956	PA451590
DB02013	PA450087
DB02013	PA450744
DB02032	PA448780
DB02137	PA450744
DB02176	PA448021
DB02351	PA10032
DB02373	PA450744
DB02507	PA451906
DB02626	PA450087
DB02661	PA450744
DB02779	PA451988
DB02831	PA450953
DB03034	PA450684
DB03125	PA10715
DB03125	PA451788
DB03128	PA448031
DB03151	PA449114
DB03151	PA451558
DB03166	PA448021
DB03255	PA450913
DB03266	PA449777
DB03322	PA451145
DB03328	PA450744
DB03467	PA151958361
DB03512	PA450744
DB03575	PA128406980
DB03585	PA450750
DB03606	PA153906323
DB03681	PA450087
DB03681	PA450744
DB03783	PA450897
DB03793	PA448578
DB03843	PA449703
DB03904	PA451831
DB03983	PA450744
DB04056	PA10247
DB04077	PA449783
DB04115	PA165860812
DB04149	PA153906323
DB04166	PA10247
DB04219	PA450744
DB04272	PA449021
DB04397	PA450744
DB04419	PA164774947
DB04441	PA449655
DB04494	PA450744
DB04552	PA164746749
DB04571	PA164747186
DB04572	PA451668
DB04573	PA164769104
DB04575	PA164749042
DB04630	PA164924487
DB04650	PA448625
DB04665	PA134521193
DB04711	PA164745532
DB04743	PA137179528
DB04794	PA164746464
DB04810	PA450087
DB04811	PA450087
DB04838	PA164748026
DB04840	PA452616
DB04841	PA164776636
DB04842	PA162565878
DB04844	PA140222719
DB04851	PA449021
DB04868	PA165958345
DB04879	PA7001
DB04880	PA164768794
DB04924	PA152432599
DB04946	PA161199368
DB04953	PA144997862
DB04996	PA448021
DB05088	PA450536
DB05088	PA451558
DB05251	PA450606
DB05289	PA449683
DB05291	PA450226
DB05296	PA448021
DB05302	PA450588
DB05318	PA448776
DB05347	PA448045
DB05428	PA448021
DB05436	PA448033
DB05508	PA450588
DB05630	PA164743129
DB05630	PA450744
DB06144	PA164784002
DB06148	PA134687937
DB06151	PA448033
DB06262	PA164748386
DB06288	PA162565877
DB06689	PA164746758
DB06701	PA450464
DB06715	PA451060
DB06770	PA448594
DB06987	PA448499
DB07118	PA154081778
DB07129	PA450488
DB07467	PA449975
DB07701	PA449394
DB07702	PA164769104
DB07768	PA164751373
DB07768	PA451627
DB07886	PA449905
DB08046	PA448970
DB08298	PA450595
DB08472	PA449673
DB08544	PA449673
DB08567	PA451333
DB08607	PA451799
DB08809	PA165947835
DB08944	PA449021
