drugbank_id	pubchem_dotf_id
DB02925	12013328
DB02932	12014029
DB02948	12013045
DB02959	49684260
DB03010	12014962
DB03034	12013736
DB03034	12014081
DB03044	136349968
DB03052	12013092
DB03068	12015718
DB03109	24714973
DB03176	123055345
DB03203	87550961
DB03206	85197624
DB03208	12013815
DB03253	12013870
DB03253	12014030
DB03285	12014182
DB03312	12013052
DB03322	57304368
DB03395	12014324
DB03424	12013068
DB03451	12014546
DB03459	12012651
DB03467	12015491
DB03496	12014552
DB03516	12014705
DB03523	12013618
DB03528	81044335
DB03541	12013135
DB03567	24714973
DB03606	12013590
DB03625	12014547
DB03655	12015288
DB03695	12012913
DB03719	12012601
DB03721	136349998
DB03740	24714973
DB03777	22395189
DB03823	50086908
DB03823	50086925
DB03832	24714892
DB03849	12014847
DB03856	12012626
DB03860	12013602
DB03880	12014769
DB03894	12014622
DB03918	12014491
DB03944	12014924
DB03955	85197624
DB03991	12015237
DB03995	12013128
DB04014	12015322
DB04066	56310611
DB04084	12014430
DB04106	12014105
DB04115	12014544
DB04115	125299285
DB04149	12013590
DB04168	12012855
DB04216	12014036
DB04224	87550986
DB04242	12015603
DB04258	12014623
DB04265	136349998
DB04270	22395452
DB04273	12012684
DB04282	12014430
DB04291	24714785
DB04293	12014135
DB04297	12013760
DB04302	12015257
DB04306	12015977
DB04308	24714785
DB04322	12014547
DB04342	12012590
DB04377	12015709
DB04441	12015425
DB04466	12014425
DB04480	125299320
DB04483	12014430
DB04485	12015420
DB04513	12012578
DB04545	81044350
DB04566	22395589
DB04570	12012590
DB04599	12012619
DB04600	123055349
DB04655	24714896
DB04705	87550999
DB04725	12014886
DB04743	12012650
DB04751	12015292
DB04769	26746648
DB04786	12013770
DB04794	12013311
DB04812	12015308
DB04815	56310601
DB04821	12015366
DB04828	12015355
DB04832	12015275
DB04834	12014834
DB04835	12015618
DB04841	24714724
DB04845	49684213
DB04849	26746631
DB04856	12014112
DB04856	12014679
DB04857	12014982
DB04859	12014755
DB04860	12014342
DB04861	12013797
DB04862	12015083
DB04863	123055293
DB04864	12013888
DB04865	12013050
DB04866	12015056
DB04868	24714967
DB04869	12015401
DB04870	12015140
DB04872	57304375
DB04873	12015016
DB04874	12015039
DB04876	12015446
DB04878	12013776
DB04879	12015266
DB04880	12012687
DB04881	56310580
DB04883	12015030
DB04884	12014334
DB04885	12014360
DB04886	12014841
DB04888	12015562
DB04889	12015676
DB04890	12014774
DB04892	12014843
DB04896	12013109
DB04898	12015148
DB04903	12014496
DB04905	12013631
DB04908	12014794
DB04910	12015527
DB04911	12014991
DB04915	57304385
DB04920	12015001
DB04924	12014383
DB04933	12015331
DB04938	12015426
DB04942	12013938
DB04944	136349962
DB04946	12014542
DB04948	12013767
DB04951	12012763
DB04953	12014733
DB04953	12015005
DB04954	12015133
DB04957	12014787
DB04960	12015141
DB04970	12014529
DB04982	12015007
DB04983	57304389
DB04996	12014708
DB05003	12014446
DB05013	12015710
DB05016	57304410
DB05022	12013383
DB05038	125299296
DB05039	12015479
DB05057	12013867
DB05076	12013040
DB05083	49684233
DB05087	12014974
DB05095	12015453
DB05102	12015250
DB05105	12014826
DB05109	12014180
DB05129	12013596
DB05143	12015463
DB05154	92309397
DB05186	92309401
DB05197	12012583
DB05229	12013775
DB05251	12014897
DB05260	12014158
DB05265	12014215
DB05266	12013668
DB05271	12013860
DB05271	12014593
DB05286	12014880
DB05288	12014801
DB05289	12014074
DB05289	12015300
DB05294	12015522
DB05295	12014438
DB05297	12015330
DB05298	12014718
DB05302	12013717
DB05314	12012574
DB05316	24714802
DB05318	12015395
DB05327	12014810
DB05339	12014645
DB05343	12015175
DB05347	12013356
DB05360	12014585
DB05379	12013227
DB05379	24714855
DB05383	12014685
DB05399	12015190
DB05409	12015441
DB05414	12015287
DB05416	22395218
DB05424	12015296
DB05428	12014919
DB05428	26746626
DB05434	12015488
DB05436	12013391
DB05458	57304379
DB05461	22395195
DB05465	50086911
DB05478	26683783
DB05482	12012598
DB05494	49684259
DB05508	12013717
DB05511	12014966
DB05521	49684228
DB05659	12014697
DB05665	92309409
DB05708	26683766
DB05719	56310613
DB05796	12015081
DB05804	57304392
DB05817	24714755
DB05838	12015228
DB05864	12015668
DB05871	24714752
DB05885	24714958
DB06090	26683811
DB06090	99431661
DB06144	12014521
DB06151	12013391
DB06155	12014928
DB06196	12014551
DB06201	12014051
DB06203	50086926
DB06204	24714750
DB06207	12014894
DB06209	12015290
DB06210	22395450
DB06212	12015154
DB06213	12015422
DB06216	12013479
DB06218	12015335
DB06228	22395270
DB06237	125299302
DB06262	12013905
DB06267	12015432
DB06274	12014860
DB06287	12014940
DB06288	12013930
DB06290	87551010
DB06292	57304407
DB06335	57304394
DB06402	12015744
DB06414	12015430
DB06554	12015406
DB06581	12015101
DB06581	92309410
DB06589	22395868
DB06590	56310609
DB06594	12014766
DB06605	56310620
DB06614	12015288
DB06616	26746630
DB06623	12013749
DB06637	12014686
DB06684	12015002
DB06689	87550986
DB06695	12015557
DB06696	12012746
DB06696	26746625
DB06697	12013078
DB06699	22395202
DB06700	12015689
DB06701	24714766
DB06702	12015484
DB06704	12013292
DB06712	12013601
DB06716	22395212
DB06717	12015115
DB06726	12013006
DB06730	12014148
DB06744	12013672
DB06748	12013896
DB06766	136349963
DB06777	12012589
DB06777	99431529
DB06800	49684206
DB06809	26683765
DB06817	26683830
DB06832	12015750
DB06836	26746635
DB06973	125299300
DB06987	12014149
DB07053	22395905
DB07080	87550969
DB07109	12015519
DB07118	87550968
DB07129	12013440
DB07130	50086923
DB07138	136349964
DB07159	125299322
DB07164	12015758
DB07191	12015430
DB07232	99431617
DB07298	50086922
DB07352	56310575
DB07358	87550987
DB07364	12015724
DB07365	22395716
DB07425	123055319
DB07447	57304367
DB07450	12014520
DB07465	57304394
DB07475	12015194
DB07477	12013864
DB07519	99431628
DB07615	12013287
DB07675	22395204
DB07701	12014379
DB07715	12015057
DB07720	12014827
DB07767	125299308
DB07768	12012605
DB07795	12015309
DB07810	81044353
DB07863	22395870
