drugbank_id	hmdb_id
DB00684	HMDB14822
DB00685	HMDB14823
DB00686	HMDB14824
DB00687	HMDB14825
DB00688	HMDB14826
DB00689	HMDB14827
DB00690	HMDB14828
DB00691	HMDB14829
DB00692	HMDB14830
DB00693	HMDB14831
DB00694	HMDB14832
DB00695	HMDB01933
DB00696	HMDB14834
DB00697	HMDB14835
DB00697	HMDB60964
DB00698	HMDB14836
DB00699	HMDB14837
DB00700	HMDB14838
DB00701	HMDB14839
DB00703	HMDB14841
DB00704	HMDB14842
DB00705	HMDB14843
DB00706	HMDB14844
DB00706	HMDB42022
DB00708	HMDB14846
DB00709	HMDB14847
DB00710	HMDB14848
DB00711	HMDB14849
DB00712	HMDB14850
DB00713	HMDB14851
DB00714	HMDB14852
DB00715	HMDB14853
DB00716	HMDB14854
DB00717	HMDB14855
DB00718	HMDB14856
DB00719	HMDB14857
DB00720	HMDB14858
DB00721	HMDB14859
DB00722	HMDB01938
DB00723	HMDB14861
DB00724	HMDB14862
DB00725	HMDB02500
DB00725	HMDB14863
DB00726	HMDB14864
DB00727	HMDB14865
DB00728	HMDB14866
DB00729	HMDB14867
DB00730	HMDB14868
DB00731	HMDB14869
DB00732	HMDB14705
DB00732	HMDB14870
DB00733	HMDB14871
DB00734	HMDB05020
DB00735	HMDB14873
DB00736	HMDB01913
DB00736	HMDB05009
DB00736	HMDB14874
DB00737	HMDB14875
DB00738	HMDB14876
DB00739	HMDB14877
DB00740	HMDB14878
DB00741	HMDB00063
DB00741	HMDB14879
DB00742	HMDB00107
DB00742	HMDB00247
DB00742	HMDB00765
DB00742	HMDB11632
DB00743	HMDB14881
DB00744	HMDB14882
DB00745	HMDB14883
DB00746	HMDB14884
DB00747	HMDB03573
DB00748	HMDB14886
DB00749	HMDB14887
DB00750	HMDB14888
DB00751	HMDB14889
DB00752	HMDB14890
DB00753	HMDB14891
DB00754	HMDB14892
DB00755	HMDB01852
DB00755	HMDB02369
DB00755	HMDB06219
DB00755	HMDB12874
DB00756	HMDB14894
DB00757	HMDB14895
DB00758	HMDB05011
DB00759	HMDB14897
DB00760	HMDB14898
DB00761	HMDB00492
DB00761	HMDB00586
DB00761	HMDB02306
DB00762	HMDB14900
DB00763	HMDB14901
DB00764	HMDB14902
DB00765	HMDB14903
DB00766	HMDB14904
DB00767	HMDB14905
DB00768	HMDB14906
DB00769	HMDB14907
DB00770	HMDB01442
DB00770	HMDB04686
DB00771	HMDB14909
DB00772	HMDB14910
DB00773	HMDB14911
DB00774	HMDB14912
DB00775	HMDB14913
DB00776	HMDB14914
DB00777	HMDB14915
DB00778	HMDB14916
DB00779	HMDB14917
DB00780	HMDB14918
DB00781	HMDB14919
DB00782	HMDB14920
DB00783	HMDB00151
DB00783	HMDB00429
DB00784	HMDB14922
DB00786	HMDB14924
DB00787	HMDB14925
DB00788	HMDB01923
DB00789	HMDB14927
DB00790	HMDB14928
DB00791	HMDB14929
DB00792	HMDB14930
DB00793	HMDB14931
DB00794	HMDB14932
DB00795	HMDB14933
DB00796	HMDB14934
DB00797	HMDB14935
DB00798	HMDB14936
DB00799	HMDB14937
DB00800	HMDB14938
DB00801	HMDB14939
DB00802	HMDB14940
DB00803	HMDB14941
DB00804	HMDB14942
DB00805	HMDB14943
DB00806	HMDB14944
DB00807	HMDB14945
DB00808	HMDB14946
DB00809	HMDB14947
DB00810	HMDB14948
DB00811	HMDB14949
DB00812	HMDB14950
DB00813	HMDB14951
DB00814	HMDB14952
DB00815	HMDB00588
DB00816	HMDB14954
DB00817	HMDB14955
DB00818	HMDB14956
DB00819	HMDB14957
DB00820	HMDB14958
DB00821	HMDB14959
DB00822	HMDB14960
DB00823	HMDB14961
DB00824	HMDB14962
DB00825	HMDB03352
DB00825	HMDB35763
DB00825	HMDB35764
DB00825	HMDB35765
DB00825	HMDB41628
DB00826	HMDB14964
DB00827	HMDB14965
DB00828	HMDB14966
DB00829	HMDB14967
DB00830	HMDB14968
DB00831	HMDB14969
DB00832	HMDB14970
DB00833	HMDB14971
DB00834	HMDB14972
DB00835	HMDB01941
DB00835	HMDB14549
DB00836	HMDB04999
DB00837	HMDB14975
DB00838	HMDB14976
DB00839	HMDB14977
DB00841	HMDB14979
DB00842	HMDB14980
DB00842	HMDB60975
DB00842	HMDB61121
DB00843	HMDB05041
DB00844	HMDB14982
DB00845	HMDB14983
DB00846	HMDB14984
DB00847	HMDB02991
DB00847	HMDB60150
DB00848	HMDB14986
DB00849	HMDB14987
DB00850	HMDB14988
DB00851	HMDB14989
DB00852	HMDB01943
DB00852	HMDB15451
DB00853	HMDB14991
DB00854	HMDB14992
DB00854	HMDB60552
DB00855	HMDB01149
DB00856	HMDB14994
DB00857	HMDB14995
DB00858	HMDB14996
DB00859	HMDB14997
DB00860	HMDB14998
DB00861	HMDB14999
DB00862	HMDB15000
DB00863	HMDB01930
DB00864	HMDB15002
