drugbank_id	zinc_id
DB00254	ZINC35644172
DB00254	ZINC36377967
DB00254	ZINC36379568
DB00254	ZINC36379569
DB00255	ZINC00001290
DB00255	ZINC00056544
DB00257	ZINC03807804
DB00258	ZINC05224164
DB00259	ZINC00002101
DB00260	ZINC03641270
DB00260	ZINC03641271
DB00260	ZINC34676244
DB00260	ZINC34676245
DB00261	ZINC03871541
DB00262	ZINC03830387
DB00264	ZINC01530717
DB00264	ZINC01530718
DB00265	ZINC00056427
DB00267	ZINC03830413
DB00267	ZINC03830414
DB00267	ZINC03871927
DB00267	ZINC04676376
DB00267	ZINC11616517
DB00267	ZINC26892366
DB00268	ZINC00002041
DB00269	ZINC01530598
DB00270	ZINC00607939
DB00270	ZINC22001248
DB00272	ZINC00001028
DB00273	ZINC01530804
DB00273	ZINC01543366
DB00273	ZINC03831557
DB00273	ZINC03831558
DB00273	ZINC03831559
DB00273	ZINC03831560
DB00273	ZINC13612334
DB00273	ZINC21984495
DB00273	ZINC23586802
DB00273	ZINC23586806
DB00274	ZINC03830417
DB00274	ZINC03830418
DB00274	ZINC03830419
DB00274	ZINC03830420
DB00277	ZINC18043251
DB00278	ZINC03807172
DB00278	ZINC03917722
DB00278	ZINC04096592
DB00278	ZINC12466741
DB00278	ZINC12466745
DB00278	ZINC13761971
DB00278	ZINC14768430
DB00278	ZINC28116370
DB00278	ZINC37263673
DB00278	ZINC37263674
DB00279	ZINC03830999
DB00279	ZINC03831000
DB00280	ZINC01530617
DB00280	ZINC01530618
DB00281	ZINC00020237
DB00282	ZINC19300304
DB00283	ZINC00001171
DB00283	ZINC00402830
DB00283	ZINC00896472
DB00283	ZINC03830574
DB00284	ZINC60392750
DB00284	ZINC60392751
DB00284	ZINC60392752
DB00284	ZINC60392753
DB00285	ZINC00006016
DB00285	ZINC00896698
DB00286	ZINC01529463
DB00286	ZINC01530629
DB00286	ZINC03830786
DB00286	ZINC03830787
DB00286	ZINC03830788
DB00286	ZINC03876186
DB00286	ZINC08551464
DB00287	ZINC04474682
DB00287	ZINC04718748
DB00287	ZINC11616663
DB00287	ZINC11616664
DB00287	ZINC14768440
DB00287	ZINC14768443
DB00287	ZINC27641572
DB00287	ZINC27641626
DB00287	ZINC27641804
DB00287	ZINC27641810
DB00287	ZINC27641817
DB00287	ZINC27641823
DB00287	ZINC28375880
DB00287	ZINC43769560
DB00287	ZINC43769561
DB00287	ZINC43769562
DB00287	ZINC43769563
DB00287	ZINC43772287
DB00287	ZINC43772289
DB00287	ZINC43772291
DB00287	ZINC43772321
DB00287	ZINC43772323
DB00287	ZINC45101820
DB00287	ZINC64857970
DB00287	ZINC66331650
DB00287	ZINC66331653
DB00288	ZINC03977775
DB00288	ZINC03977776
DB00288	ZINC03977777
DB00288	ZINC03977778
DB00288	ZINC66331831
DB00288	ZINC66331832
DB00289	ZINC01842633
DB00289	ZINC02570822
DB00291	ZINC00001115
DB00292	ZINC00001408
DB00292	ZINC17364045
DB00293	ZINC01625751
DB00293	ZINC18279672
DB00294	ZINC05651666
DB00294	ZINC05651667
DB00294	ZINC11680056
DB00294	ZINC11680067
DB00294	ZINC34404826
DB00294	ZINC34404827
DB00294	ZINC34404828
DB00294	ZINC34404829
DB00294	ZINC38601516
DB00294	ZINC38601518
DB00294	ZINC38601520
DB00294	ZINC38601522
DB00295	ZINC00403034
DB00295	ZINC03616937
DB00295	ZINC03812983
DB00295	ZINC39949141
DB00296	ZINC00006588
DB00296	ZINC00897002
DB00297	ZINC01530812
DB00297	ZINC01530814
DB00298	ZINC00001246
DB00299	ZINC00001899
DB00300	ZINC21981378
DB00300	ZINC21981379
DB00301	ZINC01532344
DB00301	ZINC03830843
DB00301	ZINC03830844
DB00301	ZINC03830845
DB00301	ZINC04102187
DB00302	ZINC01542907
DB00303	ZINC01536458
DB00303	ZINC03918453
DB00303	ZINC29057038
DB00303	ZINC43769660
DB00303	ZINC43769661
DB00303	ZINC43769662
DB00304	ZINC03830664
DB00304	ZINC03830665
DB00304	ZINC03830666
DB00304	ZINC03830667
DB00304	ZINC04097416
DB00304	ZINC32911541
DB00304	ZINC34045737
DB00304	ZINC44963110
DB00304	ZINC44963112
DB00304	ZINC44963114
DB00304	ZINC44963116
DB00304	ZINC44963118
DB00307	ZINC01539579
DB00310	ZINC00020253
DB00310	ZINC00057255
DB00311	ZINC00056721
DB00312	ZINC13545634
DB00312	ZINC13545636
DB00313	ZINC03008621
DB00315	ZINC00005298
DB00315	ZINC00015515
DB00316	ZINC18274777
DB00317	ZINC19632614
DB00318	ZINC00402777
DB00318	ZINC00490120
DB00318	ZINC00490121
DB00318	ZINC00490122
DB00318	ZINC02039583
DB00318	ZINC03806721
DB00318	ZINC03830598
DB00318	ZINC37250136
DB00319	ZINC03831344
DB00319	ZINC03831345
DB00319	ZINC03831346
DB00319	ZINC03831347
DB00319	ZINC03913937
DB00319	ZINC03977927
DB00319	ZINC05273679
DB00319	ZINC09212401
DB00319	ZINC11592731
DB00319	ZINC11592732
DB00319	ZINC11592733
DB00319	ZINC43409584
DB00320	ZINC03978005
DB00321	ZINC00968257
DB00322	ZINC00001457
DB00322	ZINC00388678
DB00322	ZINC00489135
DB00322	ZINC03813010
DB00322	ZINC03830846
DB00322	ZINC03977743
DB00322	ZINC03977744
DB00322	ZINC04045293
DB00323	ZINC00004508
DB00323	ZINC35342789
DB00324	ZINC03872583
DB00324	ZINC03872584
DB00324	ZINC03872585
DB00324	ZINC03872586
DB00324	ZINC03876158
DB00324	ZINC03977973
DB00324	ZINC03977974
DB00324	ZINC03977975
DB00324	ZINC36371046
DB00324	ZINC36371047
DB00326	ZINC01531007
DB00326	ZINC02585494
DB00326	ZINC04521295
DB00326	ZINC04521296
DB00326	ZINC04521297
DB00326	ZINC04521298
DB00326	ZINC05830322
DB00326	ZINC11592819
DB00326	ZINC11592820
DB00326	ZINC11592821
DB00326	ZINC66322933
DB00327	ZINC00402954
DB00327	ZINC06480941
DB00327	ZINC65742799
DB00328	ZINC00601283
DB00330	ZINC19364219
DB00330	ZINC19364221
DB00330	ZINC22921371
DB00331	ZINC00896658
DB00331	ZINC12859773
DB00332	ZINC13782937
DB00332	ZINC13907155
DB00333	ZINC01530706
DB00333	ZINC01530707
DB00334	ZINC19632674
DB00334	ZINC52957434
DB00335	ZINC00014007
DB00335	ZINC00113415
