drugbank_id	nmrshiftdb2_id
DB01904	10005616
DB01912	20027673
DB01917	10006310
DB01919	10016746
DB01924	20035488
DB01927	10015933
DB01936	10026614
DB01936	10026740
DB01942	19790
DB01955	10005612
DB01956	20107080
DB01956	20107083
DB01957	10015948
DB01961	20201462
DB01972	20200284
DB01972	20202120
DB01976	20198986
DB01979	20202478
DB01979	30095502
DB01986	20040717
DB01996	20027594
DB02000	20200289
DB02003	10022053
DB02010	2233
DB02010	88876
DB02024	20096530
DB02045	30096243
DB02054	10024841
DB02055	20143229
DB02060	10005716
DB02061	10026323
DB02061	10026324
DB02061	10026325
DB02074	10016780
DB02074	10016781
DB02083	10016972
DB02083	20202116
DB02095	10006008
DB02097	10016346
DB02100	20202478
DB02100	30095502
DB02103	10023841
DB02107	20026488
DB02114	20055894
DB02121	20200102
DB02130	20039583
DB02134	20191749
DB02145	10016622
DB02159	8115
DB02163	10023592
DB02165	20188012
DB02174	10016968
DB02175	10005915
DB02175	20112701
DB02176	10009160
DB02176	30096620
DB02178	10024902
DB02184	20097221
DB02185	20147313
DB02192	10005788
DB02198	10024484
DB02201	10005915
DB02201	20112701
DB02202	10008581
DB02203	20096839
DB02210	20097248
DB02216	20200239
DB02232	10015977
DB02239	10008922
DB02249	20096504
DB02252	20036225
DB02262	20027358
DB02279	10008629
DB02280	10005707
DB02282	20231623
DB02296	10008667
DB02311	19872
DB02327	10017394
DB02332	10017709
DB02335	20051808
DB02362	10008624
DB02362	20039690
DB02365	20127648
DB02373	20188012
DB02379	20027186
DB02379	20027187
DB02379	20077721
DB02396	30000588
DB02403	20033103
DB02406	8237
DB02412	10016053
DB02413	20182231
DB02413	2823
DB02417	20044829
DB02418	20097622
DB02421	10022021
DB02434	20032736
DB02435	20055880
DB02440	10016354
DB02453	20188012
DB02464	10005704
DB02486	20209755
DB02494	20033059
DB02509	10016283
DB02513	10008971
DB02515	20097251
DB02517	10016967
DB02520	30096992
DB02530	10008874
DB02531	10016777
DB02531	20209491
DB02534	10008774
DB02541	10024062
DB02556	10016961
DB02576	10024069
DB02579	10016779
DB02587	20177307
DB02606	10008032
DB02643	20209257
DB02650	10016749
DB02655	10016965
DB02655	20097654
DB02655	30095861
DB02659	10007817
DB02664	30001273
DB02671	9750
DB02678	20212431
DB02678	20213218
DB02680	20037717
DB02693	20209864
DB02693	20211283
DB02701	20027731
DB02709	20191697
DB02709	21968
DB02712	10022999
DB02713	10016977
DB02736	10016739
DB02743	10026323
DB02743	10026324
DB02743	10026325
DB02745	10016345
DB02746	10021260
DB02746	20096512
DB02749	20044524
DB02750	10016955
DB02750	30097731
DB02757	10016221
DB02758	75417
DB02764	10016353
DB02768	30000242
DB02771	30000180
DB02772	10017706
DB02772	10026322
DB02774	10016663
DB02788	10008966
DB02795	10024826
DB02806	10008674
DB02811	20000202
DB02815	10016571
DB02822	20201330
DB02823	20208318
DB02826	20028914
DB02831	30000818
DB02839	20035560
DB02846	20171100
DB02853	10009019
DB02857	10016344
DB02857	20096533
DB02866	20199035
DB02891	20209234
DB02893	30000100
DB02901	20059206
DB02935	10016687
DB02938	10008718
DB02938	20112726
DB02952	20096820
DB02955	10009331
DB02955	20200913
DB02967	10009837
DB02969	20146176
DB02970	20209347
DB02994	20200266
DB02995	10005734
DB03001	20171961
DB03001	20172363
DB03001	20176106
DB03018	10023587
DB03029	10008608
DB03040	20097608
DB03040	20200728
DB03051	20209478
DB03054	10011077
DB03056	20037706
DB03058	20044904
DB03066	8113
DB03073	20209016
DB03085	10016795
DB03085	30095860
DB03087	20045953
DB03088	20031175
DB03089	10016965
DB03089	20097654
DB03089	30095861
DB03095	20045262
DB03096	89238
DB03106	10026409
DB03106	10026410
DB03107	10016956
DB03110	10005931
DB03119	7986
DB03120	10008880
DB03127	20213318
DB03128	10016952
DB03128	10017763
DB03132	20145862
DB03142	10026614
DB03142	10026740
DB03143	10008654
DB03147	10017709
DB03166	10009160
DB03166	30096620
DB03175	10008030
DB03177	20032664
DB03180	20035533
DB03193	10016909
DB03196	20224233
DB03201	10016955
DB03201	30097731
DB03210	20207478
DB03214	20026355
DB03226	10008931
DB03238	20208033
DB03246	10026614
DB03246	10026740
DB03252	10016964
DB03252	10025690
DB03252	30095501
DB03252	30095881
DB03255	20036223
DB03255	20176248
DB03260	20097224
DB03260	20111995
DB03274	20037737
DB03278	10005614
DB03285	10017704
DB03298	20198909
DB03301	20200723
DB03313	10016324
DB03313	10017743
DB03313	10023003
DB03316	10016061
DB03320	10016975
DB03323	10026323
DB03323	10026324
DB03323	10026325
DB03335	10024481
DB03339	76874
DB03345	10016661
DB03347	10016985
DB03357	10005707
DB03360	30101776
DB03389	10026405
DB03389	10026406
DB03389	20027188
DB03400	20145806
DB03407	20123554
DB03411	20221381
DB03411	20221451
DB03419	10016331
DB03434	20112729
DB03454	20035578
DB03462	10016337
DB03463	10008610
DB03492	10022053
DB03499	10016805
DB03499	20096818
DB03501	10022021
DB03512	20188012
DB03519	10016960
DB03528	10016342
DB03540	10015818
DB03553	10016798
DB03554	20027312
DB03559	74266
DB03560	10005739
DB03561	10811
DB03564	20050117
DB03568	10008029
DB03568	20097655
DB03588	20208007
DB03590	20200021
DB03600	10008813
DB03610	20208764
DB03619	10009056
DB03627	10006052
DB03635	10016716
DB03635	20107078
DB03644	20037773
DB03651	10015990
DB03651	20209112
DB03659	10008675
DB03659	20200921
DB03661	20097217
DB03669	20208942
DB03680	20116806
DB03680	20134015
DB03688	20199057
DB03694	75005
DB03700	10009016
DB03728	20036251
DB03730	20170940
DB03733	10932
DB03741	20026349
DB03750	10018374
DB03750	20097649
DB03754	10024064
DB03766	7994
DB03779	20213279
DB03783	89616
DB03789	20181071
DB03792	20027314
DB03793	10022010
DB03793	20208071
DB03814	20111994
DB03817	10016976
DB03819	20037762
DB03836	20096429
DB03839	10016962
DB03840	20188012
DB03852	10008910
DB03854	10016947
DB03871	10022053
DB03897	10024828
DB03900	8112
DB03902	10016797
DB03904	10016903
DB03911	10026405
DB03911	10026406
DB03911	20027188
DB03929	10009015
DB03943	10016966
DB03945	20198938
DB03946	20035559
DB03967	20097653
DB03989	20027186
DB03989	20027187
DB03989	20077721
DB03993	20026359
DB03994	10008325
DB03994	20172705
DB04026	20142310
DB04027	10009013
DB04027	20096827
DB04027	20096896
DB04027	30095880
DB04031	20188012
DB04038	10016304
DB04046	20202478
DB04046	30095502
DB04050	10017078
DB04051	20207440
DB04052	20097243
DB04056	10008784
DB04066	10006420
DB04066	10018811
DB04074	20207949
DB04075	20112345
DB04077	10005613
DB04078	10016560
DB04080	20209334
DB04094	10016762
DB04104	10018802
DB04110	10021998
DB04113	20036219
DB04115	20112709
DB04120	20035579
DB04145	20027618
DB04151	20128771
DB04161	21283
DB04166	10008784
DB04167	20246939
DB04179	10017589
DB04183	19792
DB04183	20116805
DB04183	20134016
DB04183	20134030
