drugbank_id	chembl_id
DB00319	CHEMBL209761
DB00319	CHEMBL2135645
DB00319	CHEMBL2360955
DB00319	CHEMBL2365679
DB00319	CHEMBL282768
DB00319	CHEMBL284339
DB00319	CHEMBL287075
DB00319	CHEMBL290139
DB00319	CHEMBL302400
DB00319	CHEMBL3039585
DB00319	CHEMBL3039586
DB00319	CHEMBL3039591
DB00319	CHEMBL31830
DB00319	CHEMBL35680
DB00319	CHEMBL35750
DB00319	CHEMBL37207
DB00319	CHEMBL37664
DB00319	CHEMBL38228
DB00319	CHEMBL39885
DB00319	CHEMBL410714
DB00319	CHEMBL431497
DB00319	CHEMBL433231
DB00319	CHEMBL436129
DB00319	CHEMBL702
DB00320	CHEMBL1200517
DB00320	CHEMBL1364700
DB00320	CHEMBL1396675
DB00320	CHEMBL1514911
DB00320	CHEMBL1552095
DB00320	CHEMBL1552202
DB00320	CHEMBL1555667
DB00320	CHEMBL1616967
DB00320	CHEMBL1619386
DB00320	CHEMBL1623887
DB00320	CHEMBL1705108
DB00320	CHEMBL1732
DB00320	CHEMBL1740554
DB00321	CHEMBL1200964
DB00321	CHEMBL629
DB00322	CHEMBL38808
DB00322	CHEMBL6628
DB00322	CHEMBL917
DB00323	CHEMBL1324
DB00324	CHEMBL1200600
DB00324	CHEMBL1455385
DB00324	CHEMBL1475698
DB00324	CHEMBL1716015
DB00326	CHEMBL1200657
DB00326	CHEMBL1237066
DB00326	CHEMBL2106506
DB00326	CHEMBL2139472
DB00327	CHEMBL1237055
DB00327	CHEMBL398707
DB00328	CHEMBL6
DB00330	CHEMBL1200958
DB00330	CHEMBL1201318
DB00330	CHEMBL1628240
DB00330	CHEMBL1788373
DB00330	CHEMBL25539
DB00330	CHEMBL3140361
DB00330	CHEMBL43824
DB00330	CHEMBL44884
DB00331	CHEMBL1431
DB00331	CHEMBL3094198
DB00332	CHEMBL11685
DB00332	CHEMBL1231461
DB00332	CHEMBL1237167
DB00332	CHEMBL1314073
DB00332	CHEMBL1398588
DB00332	CHEMBL140812
DB00332	CHEMBL1464005
DB00332	CHEMBL1615433
DB00332	CHEMBL1621597
DB00332	CHEMBL1711202
DB00332	CHEMBL1740585
DB00332	CHEMBL1908368
DB00332	CHEMBL2134724
DB00332	CHEMBL3085123
DB00332	CHEMBL3182545
DB00333	CHEMBL1200825
DB00333	CHEMBL159659
DB00333	CHEMBL350719
DB00333	CHEMBL651
DB00334	CHEMBL1201741
DB00334	CHEMBL715
DB00335	CHEMBL1230004
DB00335	CHEMBL24
DB00335	CHEMBL343633
DB00336	CHEMBL1204113
DB00336	CHEMBL1591712
DB00336	CHEMBL1603968
DB00336	CHEMBL869
DB00337	CHEMBL1200686
DB00337	CHEMBL2358045
DB00337	CHEMBL3183539
DB00338	CHEMBL1201320
DB00338	CHEMBL1503
DB00338	CHEMBL2221248
DB00339	CHEMBL1091434
DB00339	CHEMBL614
DB00340	CHEMBL1200426
DB00340	CHEMBL1201342
DB00340	CHEMBL1494878
DB00340	CHEMBL2359044
DB00341	CHEMBL1000
DB00341	CHEMBL1201113
DB00341	CHEMBL1201190
DB00341	CHEMBL1201191
DB00341	CHEMBL1334217
DB00341	CHEMBL1607273
DB00341	CHEMBL2448114
DB00342	CHEMBL17157
DB00342	CHEMBL303454
DB00342	CHEMBL432527
DB00343	CHEMBL1200805
DB00343	CHEMBL1333019
DB00343	CHEMBL1397935
DB00343	CHEMBL1417783
DB00343	CHEMBL1697
DB00343	CHEMBL23
DB00343	CHEMBL603584
